time_sec,vehicle_count,average_speed_kmh,density,speed_variance,density_trend,flow_trend
0.25,2,21.71,0.2,6875.39,0,434.16
0.5,2,30.58,0.2,20800.14,0,611.55
0.75,3,33.12,0.3,63724.68,1,993.52
1,2,14.81,0.2,2829.06,-1,296.11
1.25,2,19.21,0.2,0,0,384.19
1.5,1,17.49,0.1,0,-1,174.93
1.75,2,43.27,0.2,0,1,865.33
2,1,38.42,0.1,0,-1,384.19
2.25,2,37.92,0.2,60048.4,1,758.42
2.5,2,38.97,0.2,56038.21,0,779.39
2.75,1,16.16,0.1,0,-1,161.55
3,1,21.63,0.1,0,0,216.33
3.25,1,25.63,0.1,0,0,256.32
3.5,2,45.79,0.2,0,1,915.86
3.75,1,9,0.1,0,-1,90
4,1,12,0.1,0,0,120
4.25,1,12,0.1,0,0,120
4.5,1,18.25,0.1,0,0,182.48
4.75,1,0,0.1,0,0,0
5,1,25.63,0.1,0,0,256.32
5.25,2,24,0.2,22500,1,480
5.5,2,31.33,0.2,49875.47,0,626.66
5.75,1,9,0.1,0,-1,90
6,2,12.15,0.2,991.32,1,242.97
6.25,2,12.49,0.2,4207.9,0,249.74
6.5,2,20.4,0.2,11918.18,0,408.08
6.75,3,18.03,0.3,11876.05,1,541.03
7,4,34.32,0.4,23539.49,1,1372.65
7.25,3,32.8,0.3,50807.44,-1,984.04
7.5,2,19.56,0.2,7643.38,-1,391.19
7.75,1,12,0.1,0,-1,120
8,3,37.6,0.3,58460.89,2,1127.85
8.25,3,13.03,0.3,2514.72,0,390.98
8.5,3,16.01,0.3,13379.52,0,480.19
8.75,3,20.16,0.3,15439.79,0,604.93
9,2,29.01,0.2,24307.61,-1,580.15
9.25,3,19.08,0.3,3204.82,1,572.33
9.5,2,25.83,0.2,4382.83,-1,516.59
9.75,3,25.16,0.3,21916.49,1,754.69
10,4,30.25,0.4,54297.62,1,1209.97
10.25,3,17.84,0.3,26382.22,-1,535.13
10.5,2,8.74,0.2,6.62,-1,174.85
10.75,2,9.24,0.2,5.93,0,184.87
11,3,12.22,0.3,661.97,1,366.66
11.25,4,11.76,0.4,1010.13,1,470.57
11.5,4,15.05,0.4,5258.15,0,601.89
11.75,4,15.86,0.4,4082.42,0,634.57
12,4,23.03,0.4,16053.75,0,921.05
12.25,4,34.04,0.4,49955.36,0,1361.59
12.5,4,31.44,0.4,28626.45,0,1257.77
12.75,4,22.89,0.4,12389.7,0,915.73
13,4,18.34,0.4,15176.07,0,733.75
13.25,4,34.55,0.4,41151.74,0,1381.87
13.5,2,21.21,0.2,0,-2,424.26
13.75,2,34.37,0.2,43892.05,0,687.34
14,1,18.25,0.1,0,-1,182.48
14.25,1,25.63,0.1,0,0,256.32
14.5,1,32.31,0.1,0,0,323.11
14.75,2,27.48,0.2,23952.92,1,549.53
15,2,39.54,0.2,75850.78,0,790.82
15.25,1,16.16,0.1,0,-1,161.55
15.5,1,18.97,0.1,0,0,189.74
15.75,1,18.97,0.1,0,0,189.74
16,1,25.63,0.1,0,0,256.32
16.25,1,37.59,0.1,0,0,375.9
16.5,1,51,0.1,0,0,510
16.75,1,57.63,0.1,0,0,576.28
17,1,6,0.1,0,0,60
17.25,1,6,0.1,0,0,60
17.5,1,9.49,0.1,0,0,94.87
17.75,1,10.82,0.1,0,0,108.17
18,1,9.49,0.1,0,0,94.87
18.25,1,15,0.1,0,0,150
18.5,1,17.49,0.1,0,0,174.93
18.75,0,0,0,0,-1,0
19,1,38.42,0.1,0,1,384.19
19.25,2,0,0.2,0,1,0
19.5,1,36.25,0.1,0,-1,362.49
19.75,2,9.49,0.2,0,1,189.74
20,2,10.93,0.2,207.72,0,218.56
20.25,2,13.49,0.2,712.58,0,269.72
20.5,2,16.39,0.2,120.54,0,327.9
20.75,2,21.74,0.2,1.07,0,434.74
21,1,28.3,0.1,0,-1,283.02
21.25,3,31.02,0.3,24967.84,2,930.64
21.5,3,45.43,0.3,68715.22,0,1362.89
21.75,2,18.08,0.2,2863.76,-1,361.59
22,1,16.16,0.1,0,-1,161.55
22.25,1,20.12,0.1,0,0,201.25
22.5,2,16.84,0.2,5402.21,1,336.74
22.75,2,27.77,0.2,15565.26,0,555.46
23,2,32.45,0.2,46800,0,649
23.25,2,51.08,0.2,69385.6,0,1021.6
23.5,1,31.32,0.1,0,-1,313.21
23.75,1,46.96,0.1,0,0,469.57
24,1,76.49,0.1,0,0,764.85
24.25,0,0,0,0,-1,0
24.5,0,0,0,0,0,0
24.75,1,9.49,0.1,0,1,94.87
25,1,15,0.1,0,0,150
25.25,0,0,0,0,-1,0
25.5,1,21.21,0.1,0,1,212.13
25.75,1,25.63,0.1,0,0,256.32
26,1,31.32,0.1,0,0,313.21
26.25,2,27.54,0.2,43400.02,1,550.82
26.5,2,41.74,0.2,86289.95,0,834.89
26.75,1,13.42,0.1,0,-1,134.16
27,3,10.99,0.3,1720.42,2,329.72
27.25,3,12.12,0.3,603.03,0,363.69
27.5,2,11.75,0.2,3302.14,-1,234.93
27.75,1,9,0.1,0,-1,90
28,3,38.7,0.3,176965.32,2,1160.87
28.25,4,15.4,0.4,5092.18,1,615.89
28.5,4,20.14,0.4,4429.53,0,805.68
28.75,3,13.23,0.3,3187.86,-1,397
29,3,14.48,0.3,5726.36,0,434.47
29.25,3,14.36,0.3,8783.39,0,430.75
29.5,4,15.22,0.4,10138.7,1,608.75
29.75,5,15.31,0.5,12328.33,1,765.62
30,4,9.72,0.4,1799.75,-1,388.85
30.25,4,7.18,0.4,466.36,0,287.29
30.5,4,8.68,0.4,786.65,0,347.29
30.75,4,7.36,0.4,433.89,0,294.38
31,4,8.5,0.4,1547.76,0,340.05
31.25,4,8.51,0.4,635.99,0,340.33
31.5,4,7.99,0.4,1719.65,0,319.51
31.75,4,6.74,0.4,628.16,0,269.72
32,4,5.26,0.4,1503.16,0,210.59
32.25,5,8.81,0.5,4298.49,1,440.5
32.5,5,3.35,0.5,1220.5,0,167.29
32.75,5,6.92,0.5,1148.62,0,346.1
33,5,6.04,0.5,1208.65,0,302.13
33.25,5,5.93,0.5,1521.36,0,296.59
33.5,4,5.61,0.4,1357.78,-1,224.22
33.75,4,4.83,0.4,668.63,0,193.14
34,3,4.65,0.3,237.49,-1,139.51
34.25,4,2.56,0.4,694.3,1,102.43
34.5,6,4.71,0.6,2584.31,2,282.43
34.75,6,5.88,0.6,1337.96,0,353.03
35,6,4.12,0.6,1901.47,0,247.28
35.25,6,4.65,0.6,1737.49,0,279.02
35.5,6,4.95,0.6,1603.25,0,296.79
35.75,5,4.69,0.5,1042.7,-1,234.38
36,4,3.62,0.4,488.6,-1,144.85
36.25,4,3.62,0.4,938.6,0,144.85
36.5,4,6,0.4,450,0,240
